State,Flower
Alabama,Camellia  (state flower)
Oak-leaf hydrangea  (state wildflower),Hydrangea quercifolia
Alaska,Forget-me-not
American Samoa,Paogo (Ulafala)
Arizona,Saguaro cactus blossom
Arkansas,Apple blossom
California,California poppy
Colorado,Colorado blue columbine
Connecticut,Mountain laurel(state flower)
Michaela Petit's Four-O’Clocks(children's state flower),Mirabilis jalapa
Delaware,Peach blossom
District of Columbia,American Beauty Rose
Florida,Orange blossom(state flower)
Tickseed(state wildflower),Coreopsis spp.
Georgia,Cherokee rose(state floral emblem)
Azalea(state wildflower),Rhododendron
Guam,Bougainvillea spectabilis
Hawaii,Hawaiian hibiscus  (maʻo hau hele)
Idaho,"Syringa, mock orange"
Illinois,Violet(state flower)
Milkweed(state wildflower),Asclepias spp.
Indiana,Peony
Iowa,Wild rose
Kansas,Sunflower
Kentucky,Goldenrod
Louisiana,Magnolia  (state flower)
Louisiana iris  (state wildflower),Iris giganticaerulea
Maine,White pine cone and tassel
Maryland,Black-eyed susan
Massachusetts,Mayflower
Michigan,Apple blossom  (state flower)
Dwarf lake iris  (state wildflower),Iris lacustris
Minnesota,Pink and white lady's slipper
Mississippi,Magnolia  (state flower)
Tickseed  (state wildflower),Coreopsis
Missouri,Hawthorn
Montana,Bitterroot
Nebraska,Goldenrod
Nevada,Sagebrush
New Hampshire,Purple lilac(state flower)
Pink lady's slipper(state wildflower),Cypripedium acaule
New Jersey,Violet
New Mexico,Yucca flower
New York,Rose
North Carolina,Flowering dogwood(state flower)
Carolina lily(state wildflower),Lilium michauxii
North Dakota,Wild prairie rose
Northern Mariana Islands,Flores mayo
Ohio,Scarlet carnation(state flower)
Large white trillium(state wild flower),Trillium grandiflorum
Oklahoma,Oklahoma rose  (state flower)
Indian blanket  (state wildflower),Gaillardia pulchella
Mistletoe  (state floral emblem),Phoradendron leucarpum
Oregon,Oregon grape
Pennsylvania,Mountain laurel  (state flower)
Penngift crown vetch  (beautification and  conservation plant),Coronilla varia
Puerto Rico,Flor de Maga
Rhode Island,Violet
South Carolina,Yellow jessamine  (state flower)
Goldenrod  (state wildflower),Solidago altissima
South Dakota,Pasque flower
Tennessee,Iris  (state cultivated flower)
Purple passionflower  (state wildflower 1),Passiflora incarnata
Tennessee purple coneflower  (state wildflower 2),Echinacea tennesseensis
Texas,Bluebonnet sp.
Utah,Sego lily
Vermont,Red clover
Virgin Islands,Yellow Elder
Virginia,American dogwood
Washington,Coast rhododendron
West Virginia,Rhododendron
Wisconsin,Wood violet
Wyoming,Indian paintbrush
