Country,Flower,Scientific Name,Image URL,Symbolism
Mauritius,Ruizia boutoniana,Ruizia boutoniana,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Trochetia_boutoniana_tree.jpg/220px-Trochetia_boutoniana_tree.jpg,
Nigeria,Costus spectabilis,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Costus_spectabilis00%2C_white_background.jpg/220px-Costus_spectabilis00%2C_white_background.jpg,"Claire Waight Keller included the plant to represent Nigeria in Meghan Markle's wedding veil, which included the distinctive flora of each Commonwealth country.[4]"
Seychelles,Tropicbird orchid,Not found,Not found,
South Africa,King protea,Protea cynaroides,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Protea_cynaroides_3.jpg/220px-Protea_cynaroides_3.jpg,
Tunisia,Jasmine,Jasminum flower,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Common_Jasmine.jpg/220px-Common_Jasmine.jpg,Several countries and states consider jasmine as a national symbol.
Afghanistan,Tulip,Tulipa,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/%D7%A6%D7%91%D7%A2%D7%95%D7%A0%D7%99%D7%9D.JPG/220px-%D7%A6%D7%91%D7%A2%D7%95%D7%A0%D7%99%D7%9D.JPG,
Bangladesh,Water lily,Not found,Not found,
Bhutan,Blue poppy,Meconopsis,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Blue_Poppy_Meconopsis_sp_Pair_1000px.jpg/220px-Blue_Poppy_Meconopsis_sp_Pair_1000px.jpg,
Brunei,Simpoh ayer,Dillenia suffruticosa,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Dil_suffrut_100524-1817_sap.jpg/220px-Dil_suffrut_100524-1817_sap.jpg,
Cambodia,Romduol,Sphaerocoryne affinis,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Rumdoul.jpg/220px-Rumdoul.jpg,
Hong Kong,Hong kong orchid tree,Not found,Not found,
Indonesia,Jasminum sambac,Jasminum sambac,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Arabian_jasmin%2C_Tunisia_2010.jpg/220px-Arabian_jasmin%2C_Tunisia_2010.jpg,
Iran,Water lily,Not found,Not found,
Israel,Poppy anemone,Anemone coronaria,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Anemone-coronaria-2016-Zachi-Evenor.jpg/220px-Anemone-coronaria-2016-Zachi-Evenor.jpg,
Japan,Sakura blossom,Not found,Not found,
Jordan,Black iris,Iris chrysographes,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Iris_chrysographes_138-8433.jpg/220px-Iris_chrysographes_138-8433.jpg,
Laos,Plumeria,Plumeria,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Plumeria_rubra-4.JPG/220px-Plumeria_rubra-4.JPG,
Malaysia,Chinese hibiscus,Hibiscus rosa-sinensis,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Hibiscus_Brilliant.jpg/220px-Hibiscus_Brilliant.jpg,
Maldives,Pink polyantha rose,Not found,Not found,
Mongolia,Scabiosa comosa,Not found,Not found,
Myanmar,Pterocarpus indicus,Pterocarpus indicus,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Pterocarpus_indicus_Blanco1.205.png/220px-Pterocarpus_indicus_Blanco1.205.png,"It is the national tree of the Philippines,[8] as well as the provincial tree of Chonburi and Phuket in Thailand."
Nepal,Tree rhododendron,Rhododendron arboreum,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Rhododendron_arboreum_subsp._nilagiricum_%281%29.jpg/220px-Rhododendron_arboreum_subsp._nilagiricum_%281%29.jpg,
North Korea,Korean mountain magnolia,Not found,Not found,
Pakistan,Common jasmine,Not found,Not found,
Philippines,Sampaguita,Jasminum sambac,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Arabian_jasmin%2C_Tunisia_2010.jpg/220px-Arabian_jasmin%2C_Tunisia_2010.jpg,
Saudi Arabia,Taif’s rose,Not found,Not found,
Singapore,Vanda miss joaquim,Not found,Not found,
South Korea,Hibiscus syriacus,Hibiscus syriacus,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Hibiscus_Syriacus.JPG/220px-Hibiscus_Syriacus.JPG,
Sri Lanka,Blue-star water-lily,Not found,Not found,
Taiwan,Plum blossom,Prunus mume,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Prunus_mume.JPG/220px-Prunus_mume.JPG,
Thailand,Golden shower tree,Cassia fistula,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Golden_shower_tree.jpg/220px-Golden_shower_tree.jpg,
Vietnam,Lotus flower,Nelumbo nucifera,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Lotus_flower_%28978659%29.jpg/220px-Lotus_flower_%28978659%29.jpg,
Andorra,Narcissus poeticus,Narcissus poeticus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Narcissus_poeticus_%27Recurvus%2706.jpg/220px-Narcissus_poeticus_%27Recurvus%2706.jpg,
Austria,Edelweiss,Clade,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Alpen_Edelwei%C3%9F%2C_Leontopodium_alpinum_2.JPG/220px-Alpen_Edelwei%C3%9F%2C_Leontopodium_alpinum_2.JPG,
Belgium,Poppy,Not found,Not found,
Bulgaria,Rose,Rosa rubiginosa,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Rosa_rubiginosa_1.jpg/220px-Rosa_rubiginosa_1.jpg,
Croatia,Iris croatica,Iris croatica,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Iris_croatica_Botanicki_vrt_1_080509.jpg/220px-Iris_croatica_Botanicki_vrt_1_080509.jpg,
Cyprus,Cyclamen cyprium,Cyclamen cyprium,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Cyclamen_cyprium.jpg/220px-Cyclamen_cyprium.jpg,
Czech Republic,Tilia,Tilia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Tilia_tomentosa.jpg/220px-Tilia_tomentosa.jpg,
Denmark,Red clover,Trifolium pratense,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Trifolium_pratense_-_Keila2.jpg/220px-Trifolium_pratense_-_Keila2.jpg,Trifolium pratense is the national flower of Denmark[20] and the state flower of Vermont.[21]
Denmark,Marguerite daisy,Argyranthemum frutescens,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/%22Argyranthemum_frutescens%22.jpg/220px-%22Argyranthemum_frutescens%22.jpg,
Estonia,Cornflower,Centaurea cyanus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Centaurea_cyanus_scan.jpg/220px-Centaurea_cyanus_scan.jpg,
